pca_1,pca_2
-2493.200168312341,-24.944621361498413
-2527.9214442149873,-28.978095906331276
-2499.707289334303,-27.252809509179325
-2486.39213794453,-23.64230591589156
-2564.493032351776,-34.41648374891403
-2408.4174136482575,-15.18796437049316
-2367.55746084678,-12.337424616975678
-2383.3977520004287,-13.737373843932751
-2567.189441497274,-31.119754734513226
-2586.5587354393456,-36.466735893191256
1665.257128527651,-398.61312049293116
-2386.351049785461,-14.994001088298958
-2597.817872077507,-36.14253167494275
-2570.169769667641,-33.78369606199175
-2518.7818802758534,-30.58108063277824
-1185.874986915633,221.55341223924862
-2372.936437006818,6.723784855028678
-2553.4217565100794,-26.900121729891936
-2584.3657685426833,-32.399421805123474
-2556.464765243902,-30.737609218721893
-2517.1336279751513,-26.03821671644193
-2535.193801569498,-29.430491426087347
-2565.4665865150687,-31.931378150045383
-2548.9952759372795,-29.983528399510064
-2482.8992749493364,-23.773397346663536
-2500.958954328222,-27.789135680038843
-2484.555549736375,-26.7003460714365
-2559.5030029606946,-28.818540811556872
-2554.239955135739,-24.322917483842506
-2496.050836098394,-21.142926155260053
-2522.4513041102396,-27.185208581971285
-2491.037908781948,-21.759670935407986
-2533.111911416628,-25.02561773224188
-2490.98546271542,-22.312027600798352
-2560.3801437241113,-28.482789660166404
-2533.565116235072,-28.172797100811067
-2514.530596888156,-22.155969428828993
-2584.162783914148,-34.59633477304619
-2502.204148731453,-25.979366820063987
-2482.4810035655337,-23.73907632638628
-2470.778174211475,-23.17574935490777
-2421.578292267262,-15.273051518285454
-2477.533476779509,-24.100902258214216
-2511.3937652497334,-23.75793692511828
-2571.4496360039902,-34.53048296724737
-2515.463327325455,-24.720368448997604
-2576.4704729407895,-31.18519837261999
-2561.953438341233,-32.30627720776985
-2584.136254255651,-30.432670584208324
-2556.8918655759962,-28.750916291945607
-2558.1478578229453,-31.71517213224467
-2560.6111894482488,-28.874364395936258
-2565.2143705304943,-32.1081746180095
-2567.8488137169975,-32.08824023837062
-2560.231596591276,-29.80116773549079
-2555.850753930215,-30.21678171284963
-2579.803418534504,-34.21675052424125
-2489.254169645136,-23.801211432952115
-2535.718847283302,-28.8197289863114
-2558.637641495898,-32.468140849926705
-2538.9780443220643,-21.168915687928962
-2553.8110907158157,-32.69102947133198
-2516.087107796898,-26.07336241149203
-2533.606365310573,-28.106692438850423
-2586.017464198968,-36.413360381960985
-2544.4725746469385,-27.51208956400467
-2572.645533677522,-32.445524350849574
-2564.3339946942347,-34.068373691369935
-2521.5135744673003,-28.32682975925288
-2507.6051214212775,-25.885197598072633
-2572.1293491529896,-34.38811586234179
-2533.9157544087902,-29.36615443700728
-2500.5670003970104,-23.945613686295292
-2500.57646538846,-29.784481309035648
-2575.7590169015816,-35.106538813535295
-2571.36204841177,-31.397479085544227
-2541.6981279553142,-29.153969223270007
-2484.160675741822,-24.746135523203172
-2457.951136338183,-17.578492970243108
-2504.042217666855,-25.92615878917393
-2568.1316416154855,-32.83156093700508
-2565.857013744048,-35.75786939796772
-2554.592893839787,-30.31404513723808
-2573.1100962578435,-35.91022739709056
-2583.741378078054,-34.231201823889144
-2556.5656409656626,-28.641199189687434
-2575.7900091086835,-33.07120358862625
-2559.206489208679,-27.031728938183978
-2518.2298929069875,-25.733011042826888
-2516.087642635779,-26.933533617361512
-2587.1315740422338,-31.072772056499538
-2545.12061375342,-28.12148736380963
-2575.1941936638145,-31.549816826740205
-2548.637859607226,-32.804644293306026
-2512.88856967548,-28.940309711502437
-2546.884293076438,-29.88766414704814
-2513.907919342296,-22.621377662348216
-2572.1835283482897,-38.5549884956986
-2533.401072172905,-29.76258530790426
-2579.1401951626794,-37.09609630948461
-2568.131648399556,-36.70106945403391
-2596.457278275096,-38.217906659807305
-2588.9914601693017,-37.548384312436106
-2579.417412012753,-35.71415667541132
-2595.926063250216,-38.96624772243576
-2572.632296200536,-33.97706426873222
7646.020180872996,1158.7437597662915
-2469.386753560009,-25.770732667306326
-2590.5170826106,-37.29287579745793
-2531.4003505593137,-33.63045747159521
-2570.584136835126,-36.28795624125938
-2579.664878431115,-37.082805599163486
-2135.638487248377,17.03734851967088
-2503.989414547976,-28.85885093915117
-2562.119716542578,-30.900040982860357
97254.84978416385,1263.2304758999906
-1759.3858335078535,78.0974344563492
-2525.6628680646227,-25.90080509066766
-2588.1157396454855,-35.35001225845848
-2594.501685876654,-37.559765927859964
-2553.286622070402,-31.623536707056527
-2545.6374812727695,-32.40106308926252
-2505.943147042814,-29.788722881244528
-2561.679745011999,-32.93987241929608
-2560.9250719578345,-32.136409854769646
-2597.815086010125,-33.008290041635725
-2592.9916613615046,-34.4761839990187
-2555.630757577219,-31.380727847206426
-2583.9162463499238,-32.2552086217392
-2568.0020753491576,-32.79673479778493
-2362.1970640203854,-18.485650494859637
-2477.5217512225786,-21.145287212134825
-2586.5102928567144,-37.32362061309637
-2562.688516134174,-32.62667202293386
-2554.7424800862896,-32.12618892921666
-2574.130389981099,-35.85660102470782
-2591.267710575715,-37.00328506765318
-2012.2556667688918,40.75964889251582
-2590.161432064772,-34.53745276313266
-2584.8191660364687,-35.76018703275787
-2574.5462757315727,-35.83122990389693
-2588.706624404834,-36.51720045051638
-2591.3627494773646,-36.81981079696667
-2570.5990499480827,-33.02893881530369
-2558.8097402631647,-31.940914121241246
-2518.3107543730343,-29.512603818162006
-2559.8115599617245,-33.33955008950081
-2468.9769180564545,-18.282124182428902
-2545.936723702935,-28.669914184920014
-2544.624974973143,-30.670343086115643
-2537.1592249019927,-29.746738548882814
-2604.63684387975,-36.82768565576455
-2592.5404909265044,-37.86440403559573
-2589.415450204837,-35.34409946694164
-2591.2799182325066,-36.99082219629525
-2521.784879951326,-25.04510004393245
-2536.2763067683995,-29.769542055971367
-2576.4255780833237,-34.04249439937087
-2557.249271424631,-31.005808499532094
-2507.8691733151704,-27.06099720726846
-2112.866968047745,29.610379896259012
-2115.323994985756,33.180340174098994
-2550.3845303189496,-33.25635796234643
-2490.12531070045,-20.624414668584627
-2547.760203346173,-32.07854483314488
-2513.5558689841687,-27.73933821044837
-2543.917261282832,-30.334153438220305
-2568.511776571071,-33.08254586357806
-2558.960439180844,-32.889075666585896
-2510.9003435718446,-25.23408938183959
-2530.509308837468,-27.788895919666846
-2501.0005996006985,-23.440570199154173
-2549.3159304649917,-32.61527692140436
-2574.6224551148252,-35.30486859138556
-2590.199863041925,-35.88900634438338
-2582.430892997248,-35.40382846191956
-2441.672022245203,-16.75251901267597
-1924.896087221531,57.47458968256024
-2413.877799101054,-8.60515864549341
-2425.9577702317665,-11.46852388298581
-2240.1955839665966,15.185204459542838
-2329.468663519055,0.9915573001788603
-2376.7217159502584,-8.399114162915913
-2349.806877401479,-0.7560866085549706
-2397.7238481250006,-8.110384697041816
-2371.9417607944033,-7.602786974832956
-2496.430778971682,-24.00934141134481
-2401.7993447065146,-10.335540896148554
20524.21584534896,861.5957674763896
-2523.2252631774163,-29.628442925027695
-2582.9715427171,-33.82324964817869
-2563.1769365677,-35.40699533678322
-2589.994159367631,-35.10585832182247
-2575.899068164465,-36.91699941707052
-2106.039647087339,-62.04839859826254
-2589.8151913557786,-38.183758982160825
-2574.403984190367,-33.18124815261399
-2455.844122792014,-20.712149341277925
-2596.1625262161683,-37.868301466036165
-2584.5470186893954,-30.576186345367677
-1382.8593901270506,145.98067052603014
-1953.0846730865776,57.56491859959717
-2059.9502090927776,42.7237506282035
-2576.6685638522517,-35.9928380821929
-2569.4621043307934,-33.12161250568478
-2594.315813602318,-37.948288404102996
-2577.2665026078807,-35.424778921934454
