names,fit_time,f1,recall,precision,accuracy
mi_linear,0.053204584121704104,0.5507928301185403,0.554,0.5945201362266704,0.5835
pca_linear,0.06230151653289795,0.5786438668789294,0.59,0.5798270727296582,0.5725
svmfs_linear,0.04133925437927246,0.5466612097381467,0.553,0.5963152385615855,0.5765
mi_rbf,0.06610023975372314,0.6515818593591692,0.74,0.5990889934025622,0.6045
pca_rbf,0.06399946212768555,0.6106259324738417,0.629,0.6027884089175526,0.6054999999999999
svmfs_rbf,0.06060001850128174,0.6539902016912071,0.728,0.611271033316077,0.615
mi_poly,0.05819957256317139,0.6533193430021657,0.7769999999999999,0.577449500170186,0.5885
pca_poly,0.49429984092712403,0.5811367682945353,0.6,0.5718519680497747,0.569
svmfs_poly,0.07380197048187256,0.4758712662845818,0.518,0.5113544775210335,0.5240000000000001
mi_sigmoid,0.06139955520629883,0.4953954324583605,0.5,0.4959196888529753,0.5
pca_sigmoid,0.11155564785003662,0.03524582966388235,0.021,0.31679487179487176,0.48250000000000004
svmfs_sigmoid,0.06749894618988037,0.5103894089703642,0.5439999999999999,0.5187483131949481,0.5494999999999999
