names,fit_time,f1,recall,precision,accuracy
texture_knn,0.005800461769104004,0.5845681264288881,0.601,0.5729440557234217,0.5780000000000001
color_knn,0.04346885681152344,0.5717826952400543,0.572,0.576880256254212,0.575
shape_knn,0.004690694808959961,0.5133491337347751,0.511,0.523151499444,0.522
texture-color_knn,0.04626059532165527,0.6036753743931195,0.6159999999999999,0.6028518898370733,0.599
texture-shape_knn,0.007793736457824707,0.5785652225833577,0.59,0.5729014797117272,0.5770000000000001
color-shape_knn,0.05369832515716553,0.567879956246941,0.5670000000000001,0.5744155766747584,0.5725
texture-color-shape_knn,0.045610666275024414,0.6034130210693378,0.615,0.6028699011759008,0.599
texture_nb,0.005399680137634278,0.6548313376184899,0.835,0.5404544515196925,0.562
color_nb,0.04279942512512207,0.48354301850741244,0.5279999999999999,0.5581453462618027,0.5325
shape_nb,0.0024997472763061525,0.677460317875371,0.9620000000000001,0.523779124346939,0.542
texture-color_nb,0.058999824523925784,0.5238951285472165,0.585,0.5653831561873679,0.5499999999999999
texture-shape_nb,0.0056999921798706055,0.6613780097729983,0.8700000000000001,0.5350181940300203,0.5565
color-shape_nb,0.04269938468933106,0.5085330649152446,0.566,0.5662291051619348,0.5445
texture-color-shape_nb,0.04960026741027832,0.5418062130768486,0.615,0.5656486288646392,0.554
texture_rf,1.3878039598464966,0.5881671239646633,0.574,0.6217608926845342,0.6125
color_rf,1.4105989456176757,0.6805563181047538,0.669,0.7131871496881104,0.6930000000000001
shape_rf,0.4858123779296875,0.543696350475867,0.541,0.5553221257548028,0.5525
texture-color_rf,1.7497068405151368,0.6975852276227466,0.6849999999999999,0.7284479389363702,0.7125000000000001
texture-shape_rf,1.5499027967453003,0.589092567594468,0.5740000000000001,0.6209315849744621,0.6129999999999999
color-shape_rf,1.4432992219924927,0.6871353930080181,0.6679999999999999,0.7272190730520369,0.7050000000000001
texture-color-shape_rf,1.8552995443344116,0.7018982612123865,0.684,0.7403448515741375,0.721
