names,fit_time,f1,recall,precision,accuracy
texture_linear,0.09593443870544434,0.5610378380419134,0.583,0.5647766200071546,0.5839999999999999
color_linear,0.047147607803344725,0.596471664039624,0.628,0.6129084271147054,0.6020000000000001
shape_linear,0.04241678714752197,0.6738780318888157,0.969,0.517122287669734,0.5309999999999999
texture-color_linear,0.07866060733795166,0.6254024427147131,0.645,0.6437845128202339,0.63
texture-shape_linear,0.07384021282196045,0.5646288753514351,0.588,0.5665949757264891,0.5855
color-shape_linear,0.05217931270599365,0.5912022352494647,0.62,0.6114362808504905,0.5995
texture-color-shape_linear,0.07280728816986085,0.6266629720922198,0.646,0.6443363136392586,0.631
texture_rbf,0.0895925521850586,0.5810324902546983,0.605,0.5810774716889557,0.5905
color_rbf,0.06225950717926025,0.7116478961297652,0.779,0.6721240867499313,0.6839999999999999
shape_rbf,0.06765477657318116,0.6206504386321211,0.764,0.5379334277740289,0.5545
texture-color_rbf,0.1121995210647583,0.6384016540939585,0.6570000000000001,0.6485119546252436,0.636
texture-shape_rbf,0.10380353927612304,0.5830725719375816,0.608,0.5829378049724532,0.592
color-shape_rbf,0.0792097806930542,0.7016975702337404,0.773,0.6590904839159274,0.6725000000000001
texture-color-shape_rbf,0.09401504993438721,0.6363280508781239,0.6570000000000001,0.6457375535616043,0.633
texture_poly,0.07715418338775634,0.5542377678943767,0.5569999999999999,0.5824990502093139,0.5974999999999999
color_poly,0.07440218925476075,0.6890143946505687,0.7610000000000001,0.6478327887034013,0.6624999999999999
shape_poly,0.09999845027923585,0.6456260945889024,0.857,0.5249892209954442,0.5389999999999999
texture-color_poly,0.09412052631378173,0.6428852974078167,0.659,0.6547624066178906,0.6445000000000001
texture-shape_poly,0.08416028022766113,0.5576126680829809,0.5589999999999999,0.5863015526479983,0.599
color-shape_poly,0.06913180351257324,0.6694819440469891,0.748,0.6228876461889888,0.6345000000000001
texture-color-shape_poly,0.07724037170410156,0.6348496035251657,0.6489999999999999,0.6502375157952499,0.639
texture_sigmoid,0.13095932006835936,0.5064608506989259,0.5409999999999999,0.4837156620475147,0.496
color_sigmoid,0.06979918479919434,0.47482550858238115,0.47400000000000003,0.49310015151212977,0.49700000000000005
shape_sigmoid,0.058330345153808597,0.6018408147846502,0.8029999999999999,0.4894977347593315,0.5175
texture-color_sigmoid,0.13886635303497313,0.5679917654016056,0.592,0.551254268987578,0.5605
texture-shape_sigmoid,0.1401766538619995,0.5072526266468894,0.5359999999999999,0.48702931276805084,0.4955
color-shape_sigmoid,0.07627320289611816,0.5128940962268628,0.529,0.5072530046965837,0.519
texture-color-shape_sigmoid,0.1210202693939209,0.5655732188573166,0.583,0.5544619749694173,0.5605
