names,fit_time,f1,recall,precision,accuracy
texture_knn,0.0052340984344482425,0.6183185413423943,0.635,0.6127120019552572,0.6095
color_knn,0.005448365211486816,0.6326114991856382,0.647,0.6250072170004999,0.6245
shape_knn,0.0038305044174194334,0.5048350243657124,0.49800000000000005,0.5172935460703159,0.5149999999999999
texture-color_knn,0.0025203704833984377,0.6746323665083409,0.7030000000000001,0.6550855722896012,0.6655
texture-shape_knn,0.0022994041442871093,0.6344308316307063,0.653,0.6294883874516711,0.629
color-shape_knn,0.002603006362915039,0.6222683119481426,0.6330000000000001,0.61863836371847,0.6184999999999998
texture-color-shape_knn,0.0026036739349365235,0.6762850215499123,0.7040000000000001,0.6573403141125403,0.6675
texture_nb,0.0026921987533569335,0.6055469012720833,0.625,0.5970659974269046,0.6050000000000001
color_nb,0.002401280403137207,0.6563980073128443,0.8310000000000001,0.5511610365652994,0.5700000000000001
shape_nb,0.0023064613342285156,0.6710048353787262,0.9240000000000002,0.5292454441750143,0.548
texture-color_nb,0.002700471878051758,0.6538675346491034,0.7849999999999999,0.5698545281243834,0.5935
texture-shape_nb,0.002700662612915039,0.6659563601952596,0.792,0.5781604159630398,0.6065
color-shape_nb,0.0026091575622558595,0.6677300624916758,0.875,0.5461891628662311,0.5694999999999999
texture-color-shape_nb,0.0027008056640625,0.6679488240921547,0.8459999999999999,0.557070714331816,0.5840000000000001
texture_rf,0.642180609703064,0.6185203383211608,0.624,0.630674994742024,0.6214999999999999
color_rf,0.6755731582641602,0.6730605571079842,0.687,0.6748580633702846,0.6719999999999999
shape_rf,0.4831316709518433,0.5036409137131177,0.4920000000000001,0.5270332770856687,0.5230000000000001
texture-color_rf,0.8008117914199829,0.7008352434885772,0.695,0.7296030751182581,0.718
texture-shape_rf,0.7519430160522461,0.6514783878805657,0.646,0.6774809403763846,0.6605
color-shape_rf,0.7981599807739258,0.6720056834107123,0.689,0.6716927365048093,0.67
texture-color-shape_rf,0.9285480260849,0.6997045432159904,0.6950000000000001,0.7239202506726383,0.713
