names,fit_time,f1,recall,precision,accuracy
texture_linear,0.04359977245330811,0.6617818660641178,0.6940000000000001,0.6555473402978652,0.6505
color_linear,0.04970011711120605,0.5948120499278534,0.628,0.6072755488942718,0.6045
humoment_linear,0.04639880657196045,0.6514788551601871,0.8380000000000001,0.5412345486117429,0.5615
texture-color_linear,0.05469918251037598,0.6656453919413698,0.696,0.6848033951113289,0.675
texture-humoment_linear,0.04949924945831299,0.671406414491365,0.706,0.6625665116607488,0.6605000000000001
color-humoment_linear,0.05749967098236084,0.6117389959614652,0.659,0.6080900685901207,0.6125
texture-color-humoment_linear,0.06949937343597412,0.6657246818243066,0.6969999999999998,0.6807612343271934,0.6729999999999999
texture_rbf,0.06609983444213867,0.6580799377626079,0.687,0.6510028424873597,0.6475000000000001
color_rbf,0.06759903430938721,0.6606390842262091,0.725,0.6254211324546108,0.6305000000000001
humoment_rbf,0.07399976253509521,0.6098216461575732,0.744,0.5350906230144894,0.5464999999999999
texture-color_rbf,0.08269836902618408,0.7057044758732605,0.732,0.7060928571630841,0.7125000000000001
texture-humoment_rbf,0.07919881343841553,0.6681772169691331,0.709,0.6499933636577747,0.657
color-humoment_rbf,0.0886991262435913,0.6431810511333149,0.708,0.6108941495181548,0.614
texture-color-humoment_rbf,0.09649956226348877,0.6936192446119491,0.721,0.6937724899209925,0.7015
texture_poly,0.14799919128417968,0.6656698491648114,0.688,0.6609081149115863,0.658
color_poly,0.06689951419830323,0.6628038304690967,0.713,0.6349332708007732,0.6395000000000001
humoment_poly,0.09579923152923583,0.6484509885942709,0.8400000000000001,0.5340110659913415,0.5515
texture-color_poly,0.07909903526306153,0.7227164562698601,0.7369999999999999,0.7265689252877591,0.7335
texture-humoment_poly,0.0633991003036499,0.6667312161981587,0.702,0.6534781434962171,0.6595000000000001
color-humoment_poly,0.07340021133422851,0.6160823172399035,0.671,0.5982853388466879,0.6054999999999999
texture-color-humoment_poly,0.07419896125793457,0.7068955835984712,0.719,0.7211429743106856,0.719
texture_sigmoid,0.11489946842193603,0.0019801980198019802,0.001,0.1,0.5
color_sigmoid,0.15680019855499266,0.4544710987316683,0.48200000000000004,0.4614622793740847,0.44799999999999995
humoment_sigmoid,0.0684002161026001,0.5236761504601554,0.545,0.528719582101294,0.5290000000000001
texture-color_sigmoid,0.16979897022247314,0.08510180488892763,0.05500000000000001,0.4644225872167048,0.499
texture-humoment_sigmoid,0.13889861106872559,0.40717538729938657,0.31800000000000006,0.6011400370103962,0.554
color-humoment_sigmoid,0.11929883956909179,0.4331836697696084,0.43100000000000005,0.4590416318024202,0.4575
texture-color-humoment_sigmoid,0.17809953689575195,0.5563382727661357,0.522,0.6053761070775334,0.593
